Dataset,Defended,Experiment,Attack,Deg,Adv Acc,Count
imagenet,True,base,BIA+RN (T-c),1.26,70.45,18
imagenet,True,base,BIA+DA (T-d),1.13,70.58,18
imagenet,True,base,BIA+RN (T-d),1.16,70.55,18
imagenet,True,base,Square,9.41,62.30,18
imagenet,True,base,ACG,22.95,48.76,18
imagenet,True,base,AutoAttack (T),0.93,70.78,18
imagenet,False,base,Benign,0.00,75.78,68
imagenet,False,base,LGV (B),55.72,20.06,68
imagenet,False,base,LGV (A),31.90,43.88,68
imagenet,False,base,SSAH (B),1.64,74.14,68
imagenet,False,base,SSAH (A),1.94,73.84,68
imagenet,False,base,Admix (A),42.43,33.35,68
imagenet,False,base,Admix (B),75.16,0.62,68
imagenet,False,base,AutoAttack,75.78,0.00,68
imagenet,False,base,DI-TI-Admix (A),41.75,34.03,68
imagenet,False,base,DI-Admix (A),46.87,28.91,68
imagenet,False,base,VNI-FGSM (B),70.15,5.63,68
imagenet,False,base,VNI-FGSM (A),33.94,41.84,68
imagenet,False,base,DI-LGV (A),38.91,36.87,68
imagenet,False,base,DI-TI-LGV (A),24.25,51.53,68
imagenet,False,base,VNI-DI-FGSM (A),33.87,41.91,68
imagenet,False,base,VNI-DI-TI-FGSM (A),31.49,44.29,68
imagenet,False,base,BIA (A),18.01,57.77,68
imagenet,False,base,BIA+DA (A),18.16,57.62,68
imagenet,False,base,BIA+RN (A),18.75,57.03,68
imagenet,False,base,BIA (B),9.50,66.28,68
imagenet,False,base,BIA (T-a),5.46,70.32,68
imagenet,False,base,BIA+DA (T-a),8.14,67.64,68
imagenet,False,base,BIA (T-b),6.62,69.16,68
imagenet,False,base,BIA+RN (T-a),9.85,65.93,68
imagenet,False,base,BIA (T-c),6.92,68.86,68
imagenet,False,base,BIA+DA (T-b),7.15,68.63,68
imagenet,False,base,BIA+DA (T-c),7.53,68.25,68
imagenet,False,base,BIA (T-d),10.27,65.51,68
imagenet,False,base,BIA+RN (T-b),9.25,66.53,68
imagenet,False,base,BIA+RN (T-c),9.14,66.64,68
imagenet,False,base,BIA+DA (T-d),12.65,63.13,68
imagenet,False,base,BIA+RN (T-d),12.23,63.55,68
imagenet,False,base,Square,69.92,5.86,68
imagenet,False,base,ACG,75.78,0.00,68
imagenet,False,base,AutoAttack (T),27.01,48.77,68
cifar10,True,worst_defended,LGV (A),7.89,79.80,67
cifar10,True,worst_defended,SSAH (B),2.30,85.39,67
cifar10,True,worst_defended,Admix (A),11.73,75.96,67
cifar10,True,worst_defended,DI-TI-Admix (A),10.38,77.31,67
cifar10,True,worst_defended,DI-Admix (A),11.61,76.08,67
cifar10,True,worst_defended,DI-TI-LGV (A),6.87,80.82,67
cifar10,True,worst_defended,VNI-FGSM (A),10.08,77.61,67
cifar10,True,worst_defended,DI-LGV (A),9.28,78.41,67
cifar10,True,worst_defended,VNI-DI-FGSM (A),10.33,77.36,67
cifar10,True,worst_defended,VNI-DI-TI-FGSM (A),9.36,78.33,67
cifar10,True,worst_defended,BIA (A),1.20,86.49,67
cifar10,True,worst_defended,BIA+DA (A),1.16,86.52,67
cifar10,True,worst_defended,BIA+RN (A),1.36,86.33,67
cifar10,True,worst_defended,AutoAttack (T),6.90,80.79,67
cifar10,False,worst_defended,LGV (A),46.03,48.00,12
cifar10,False,worst_defended,SSAH (B),9.70,84.32,12
cifar10,False,worst_defended,Admix (A),18.69,75.33,12
cifar10,False,worst_defended,DI-TI-Admix (A),8.81,85.21,12
